Student_ID,Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status,Placed,Avg_Skill_Score,Experience_Score
1048,22,Female,B.Tech,ECE,6.29,0,3,4,6,51,5,1,3,Not Placed,0,5.0,4
37820,20,Female,BCA,ECE,6.05,1,4,6,8,59,8,2,1,Not Placed,0,7.333333333333333,8
49668,22,Male,MCA,ME,7.22,1,4,6,6,58,6,2,2,Not Placed,0,6.0,8
19467,22,Male,MCA,ME,7.78,2,4,6,6,90,4,2,0,Placed,1,5.333333333333333,10
23094,20,Female,B.Tech,ME,7.63,1,4,6,5,79,6,2,0,Placed,1,5.666666666666667,8
8710,20,Male,BCA,ECE,7.99,1,4,5,7,84,6,2,0,Placed,1,6.0,8
24363,21,Male,MCA,ECE,7.5,1,4,6,4,71,8,2,1,Not Placed,0,6.0,8
27448,19,Male,B.Tech,ME,8.0,0,4,4,5,74,3,1,0,Not Placed,0,4.0,5
23663,24,Male,BCA,Civil,6.24,0,3,3,10,54,7,1,2,Not Placed,0,6.666666666666667,4
39336,23,Male,B.Sc,ME,7.08,2,4,7,6,59,6,2,2,Not Placed,0,6.333333333333333,10
21919,18,Female,MCA,Civil,5.42,0,2,1,7,42,5,0,1,Not Placed,0,4.333333333333333,2
11924,19,Male,MCA,ECE,7.48,2,5,9,8,67,6,3,0,Placed,1,7.666666666666667,12
11236,19,Male,B.Sc,CSE,7.58,1,5,8,1,80,8,3,2,Not Placed,0,5.666666666666667,10
31588,18,Male,B.Tech,ECE,6.74,2,4,7,6,73,8,2,0,Placed,1,7.0,10
11221,19,Female,MCA,ECE,6.11,1,3,5,5,57,5,1,2,Not Placed,0,5.0,6
6245,18,Male,BCA,ECE,6.79,0,3,5,5,81,6,2,0,Placed,1,5.333333333333333,5
41110,23,Female,B.Sc,IT,7.41,0,3,3,5,83,5,1,1,Not Placed,0,4.333333333333333,4
46279,18,Female,B.Sc,CSE,5.97,0,3,6,4,52,6,2,2,Not Placed,0,5.333333333333333,5
25157,23,Male,B.Tech,CSE,6.69,1,4,8,7,68,6,2,1,Placed,1,7.0,8
42829,20,Male,BCA,Civil,7.95,1,4,5,6,81,6,2,1,Placed,1,5.666666666666667,8
32822,18,Female,B.Tech,ME,7.3,1,4,7,8,70,7,2,0,Placed,1,7.333333333333333,8
10557,18,Female,MCA,ME,7.02,0,3,3,8,81,6,1,0,Not Placed,0,5.666666666666667,4
33595,23,Female,BCA,ECE,7.29,0,3,3,6,88,5,1,0,Not Placed,0,4.666666666666667,4
49018,21,Male,BCA,ME,7.69,1,3,4,5,54,9,1,0,Not Placed,0,6.0,6
2359,24,Male,BCA,CSE,8.47,2,5,9,3,80,4,3,0,Not Placed,0,5.333333333333333,12
16180,24,Female,B.Tech,ECE,7.97,1,4,7,5,89,6,2,1,Placed,1,6.0,8
19260,23,Male,B.Tech,ECE,7.58,2,4,5,4,66,6,2,2,Not Placed,0,5.0,10
26634,23,Female,MCA,Civil,7.08,2,4,7,7,83,4,2,0,Placed,1,6.0,10
9097,24,Female,B.Sc,CSE,6.89,1,4,8,5,69,5,2,0,Placed,1,6.0,8
19470,24,Male,B.Tech,ECE,7.49,2,4,5,3,80,4,2,0,Not Placed,0,4.0,10
32452,20,Male,BCA,IT,6.69,1,3,4,7,64,7,1,1,Not Placed,0,6.0,6
49309,21,Female,MCA,ME,6.29,1,3,3,4,55,5,1,2,Not Placed,0,4.0,6
32207,20,Female,B.Sc,Civil,8.0,0,4,5,7,74,6,2,0,Placed,1,6.0,6
48115,21,Female,B.Tech,CSE,7.27,0,4,5,5,76,7,2,0,Placed,1,5.666666666666667,6
6121,24,Female,BCA,Civil,8.17,1,4,4,6,89,6,2,0,Not Placed,0,5.333333333333333,8
7729,23,Female,B.Sc,ECE,7.83,1,5,9,5,82,6,3,1,Placed,1,6.666666666666667,10
23604,19,Male,BCA,IT,6.9,1,4,6,7,75,5,2,0,Placed,1,6.0,8
31239,23,Male,MCA,Civil,5.22,0,3,4,4,47,6,1,1,Not Placed,0,4.666666666666667,4
2225,20,Male,BCA,CSE,6.09,1,3,5,5,63,7,2,2,Not Placed,0,5.666666666666667,7
32808,19,Male,MCA,IT,6.35,0,3,3,8,40,5,1,1,Not Placed,0,5.333333333333333,4
23466,24,Female,MCA,IT,5.63,1,3,6,5,55,6,2,1,Not Placed,0,5.666666666666667,7
49126,23,Female,BCA,CSE,7.78,1,4,7,6,96,8,2,0,Placed,1,7.0,8
38907,24,Female,B.Tech,CSE,7.67,3,5,8,6,59,6,2,1,Placed,1,6.666666666666667,13
